INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,OPR_INTERVAL,GROUP
2016-03-01T00:00:00-00:00,2016-03-01T00:15:00-00:00,2016-02-29,17,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,11.07496,1,1
2016-03-01T01:00:00-00:00,2016-03-01T01:15:00-00:00,2016-02-29,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,15.91715,1,1
2016-03-01T02:00:00-00:00,2016-03-01T02:15:00-00:00,2016-02-29,19,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,29.13504,1,1
2016-03-01T03:00:00-00:00,2016-03-01T03:15:00-00:00,2016-02-29,20,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,37.57736,1,1
2016-03-01T04:00:00-00:00,2016-03-01T04:15:00-00:00,2016-02-29,21,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,26.30197,1,1
2016-03-01T05:00:00-00:00,2016-03-01T05:15:00-00:00,2016-02-29,22,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,23.75037,1,1
2016-03-01T06:00:00-00:00,2016-03-01T06:15:00-00:00,2016-02-29,23,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,21.60665,1,1
2016-03-01T07:00:00-00:00,2016-03-01T07:15:00-00:00,2016-02-29,24,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,18.0538,1,1
2016-03-01T00:15:00-00:00,2016-03-01T00:30:00-00:00,2016-02-29,17,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,15.57742,2,1
2016-03-01T01:15:00-00:00,2016-03-01T01:30:00-00:00,2016-02-29,18,LAPLMG1_7_B2,LAPLMG1_7_B2,LAPLMG1_7_B2,HASP,LMP,LMP_PRC,LAPLMG1_7_B2,ALL,1,17.03266,2,1
